,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
182,2022-07,US,U.S. Total,99,All Sectors,NG,natural gas,1571.49324,million MMBtu
183,2022-07,US,U.S. Total,99,All Sectors,MSB,biogenic municipal solid waste,10.42796,million MMBtu
184,2022-07,US,U.S. Total,99,All Sectors,MLG,municiapl landfill gas,19.49804,million MMBtu
185,2022-07,US,U.S. Total,99,All Sectors,LIG,lignite coal,43.99876,million MMBtu
186,2022-07,US,U.S. Total,99,All Sectors,LFG,landfill gas,9.07008,million MMBtu
187,2022-07,US,U.S. Total,99,All Sectors,HYC,conventional hydroelectric,213.17241,million MMBtu
188,2022-07,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
189,2022-07,US,U.S. Total,99,All Sectors,GEO,geothermal,12.71739,million MMBtu
190,2022-07,US,U.S. Total,99,All Sectors,FOS,fossil fuels,2559.51943,million MMBtu
191,2022-07,US,U.S. Total,99,All Sectors,DPV,estimated small scale solar photovoltaic,,million MMBtu
192,2022-07,US,U.S. Total,99,All Sectors,DFO,distillate fuel oil,5.69641,million MMBtu
193,2022-07,US,U.S. Total,99,All Sectors,COW,all coal products,945.56414,million MMBtu
194,2022-07,US,U.S. Total,99,All Sectors,COL,"coal, excluding waste coal",938.24552,million MMBtu
195,2022-07,US,U.S. Total,99,All Sectors,BIT,bituminous coal,335.87827,million MMBtu
196,2022-07,US,U.S. Total,99,All Sectors,BIS,bituminous coal and synthetic coal,335.87827,million MMBtu
197,2022-07,US,U.S. Total,99,All Sectors,BIO,biomass,124.45362,million MMBtu
198,2022-07,US,U.S. Total,99,All Sectors,AOR,all renewables,534.70774,million MMBtu
199,2022-07,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
200,2022-07,US,U.S. Total,99,All Sectors,ALL,all fuels,4043.0346,million MMBtu
201,2022-07,US,U.S. Total,99,All Sectors,WWW,wood and wood wastes,100.61323,million MMBtu
202,2022-07,US,U.S. Total,99,All Sectors,WOO,waste oil and other oils,1.09181,million MMBtu
203,2022-07,US,U.S. Total,99,All Sectors,WOC,waste coal,7.31863,million MMBtu
204,2022-07,US,U.S. Total,99,All Sectors,WNT,onshore wind turbine,258.73503,million MMBtu
205,2022-07,US,U.S. Total,99,All Sectors,WNS,offshore wind turbine,0.09129,million MMBtu
206,2022-07,US,U.S. Total,99,All Sectors,WND,wind,258.82632,million MMBtu
207,2022-07,US,U.S. Total,99,All Sectors,WAS,renewable waste products,23.8404,million MMBtu
208,2022-07,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
209,2022-07,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
210,2022-07,US,U.S. Total,99,All Sectors,SUN,solar,138.71042,million MMBtu
211,2022-07,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,525.51328,million MMBtu
212,2022-07,US,U.S. Total,99,All Sectors,STH,solar thermal,2.55035,million MMBtu
213,2022-07,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,136.16007,million MMBtu
214,2022-07,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,5.47577,million MMBtu
215,2022-07,US,U.S. Total,99,All Sectors,REN,renewable,747.88015,million MMBtu
216,2022-07,US,U.S. Total,99,All Sectors,RC,refined coal,32.85521,million MMBtu
217,2022-07,US,U.S. Total,99,All Sectors,PET,petroleum,19.22449,million MMBtu
218,2022-07,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,12.26399,million MMBtu
219,2022-07,US,U.S. Total,99,All Sectors,PC,petroleum coke,6.9605,million MMBtu
220,2022-07,US,U.S. Total,99,All Sectors,OTH,other,17.52622,million MMBtu
221,2022-07,US,U.S. Total,99,All Sectors,ORW,other renewables,4.34236,million MMBtu
222,2022-07,US,U.S. Total,99,All Sectors,OOG,other gases,23.23757,million MMBtu
223,2022-07,US,U.S. Total,99,All Sectors,OBW,biomass,14.77032,million MMBtu
